player_link,player_id,player_name,nationality,position,team_id,team_name,team_link,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,matches_link,competition_id,season_id,id
/en/players/450ab6fc/Jamaal-Lascelles,450ab6fc,Jamaal Lascelles,engENG,DF,2023-2024,Newcastle Utd,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats,29,1993,12.0,774,764,8,6,0,3,1,2,0,0,0,0,669,2,5,/en/players/450ab6fc/matchlogs/2023-2024/passing_types/Jamaal-Lascelles-Match-Logs,9,2023-2024,b17d2b07-b92c-4558-aeb2-db21679e4102
/en/players/ecad9aa5/Romeo-Lavia,ecad9aa5,Roméo Lavia,beBEL,MF,2023-2024,Chelsea,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,19,2004,0.4,27,27,0,0,0,0,0,0,0,0,0,0,22,0,2,/en/players/ecad9aa5/matchlogs/2023-2024/passing_types/Romeo-Lavia-Match-Logs,9,2023-2024,72ef284c-dca3-4b1b-8e95-c11e0dceb42c
/en/players/2b471f99/Mario-Lemina,2b471f99,Mario Lemina,gaGAB,MF,2023-2024,Wolves,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats,29,1993,33.0,1470,1432,31,21,8,12,15,9,0,0,0,0,1261,7,9,/en/players/2b471f99/matchlogs/2023-2024/passing_types/Mario-Lemina-Match-Logs,9,2023-2024,16426846-b248-4cf0-8bfa-d47924623491
/en/players/4f28a6ff/Clement-Lenglet,4f28a6ff,Clément Lenglet,frFRA,DF,2023-2024,Aston Villa,/en/squads/8602292d/2023-2024/Aston-Villa-Stats,28,1995,12.8,918,859,58,40,0,8,3,4,0,0,0,0,822,1,3,/en/players/4f28a6ff/matchlogs/2023-2024/passing_types/Clement-Lenglet-Match-Logs,9,2023-2024,dddeddb0-fc67-4023-9ab3-61cf446272cc
/en/players/2628fd2b/Bernd-Leno,2628fd2b,Bernd Leno,deGER,GK,2023-2024,Fulham,/en/squads/fd962109/2023-2024/Fulham-Stats,31,1992,38.0,1577,1281,292,91,0,2,0,0,0,0,0,0,1250,4,0,/en/players/2628fd2b/matchlogs/2023-2024/passing_types/Bernd-Leno-Match-Logs,9,2023-2024,4e83ca59-afee-4d12-a9bb-78670e2f8efa
/en/players/9b5ce51a/Jefferson-Lerma,9b5ce51a,Jefferson Lerma,coCOL,"MF,DF",2023-2024,Crystal Palace,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,28,1994,26.7,1250,1209,36,30,8,13,14,6,0,0,0,0,1018,5,20,/en/players/9b5ce51a/matchlogs/2023-2024/passing_types/Jefferson-Lerma-Match-Logs,9,2023-2024,df1ffceb-92ee-4e31-b162-dec7f6062e59
/en/players/b57e066e/Rico-Lewis,b57e066e,Rico Lewis,engENG,"DF,MF",2023-2024,Manchester City,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats,18,2004,9.0,568,525,43,9,1,0,1,34,0,0,0,0,518,0,11,/en/players/b57e066e/matchlogs/2023-2024/passing_types/Rico-Lewis-Match-Logs,9,2023-2024,541a730e-7bca-439c-96f5-a52d626edfd6
/en/players/41f08ac8/Keane-Lewis-Potter,41f08ac8,Keane Lewis-Potter,engENG,"FW,DF",2023-2024,Brentford,/en/squads/cd051869/2023-2024/Brentford-Stats,22,2001,16.0,415,404,10,3,2,4,50,6,0,0,0,0,289,1,13,/en/players/41f08ac8/matchlogs/2023-2024/passing_types/Keane-Lewis-Potter-Match-Logs,9,2023-2024,6851b898-ae65-4455-b520-7aff208d35fb
/en/players/f5deef4c/Victor-Lindelof,f5deef4c,Victor Lindelöf,seSWE,DF,2023-2024,Manchester Utd,/en/squads/19538871/2023-2024/Manchester-United-Stats,29,1994,14.8,927,854,73,8,2,5,1,50,0,0,0,0,826,0,7,/en/players/f5deef4c/matchlogs/2023-2024/passing_types/Victor-Lindelof-Match-Logs,9,2023-2024,29dc2f4a-4fab-4f52-baac-1b40bfaf5917
/en/players/afed6722/Valentino-Livramento,afed6722,Valentino Livramento,engENG,DF,2023-2024,Newcastle Utd,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats,20,2002,14.6,802,697,105,4,0,1,26,101,0,0,0,0,689,0,12,/en/players/afed6722/matchlogs/2023-2024/passing_types/Valentino-Livramento-Match-Logs,9,2023-2024,8ff6997c-4bb9-4e9f-ba34-f3c17f84a6dd
